ID	UT	N_Arvore	DAP	HC	G	Volume	X	Y	Z
411	3	9061	0.499745	12	0.19615	1.882703	549223.917	9798032.084	81.1418
412	3	9062	0.989941	14	0.769678	8.441816	549228.816	9798053.858	80.339798
413	3	9072	0.989941	14	0.769678	8.441816	549284.574	9798197.76	71.775002
414	3	9075	0.531576	12	0.221933	2.130767	549230.423	9798256.91	67.031998
415	3	9076	0.563407	8	0.249307	1.6994	549258.116	9798249.497	70.3144
416	3	9079	0.528393	12	0.219283	2.105269	549266.909	9798276.465	66.896004
417	3	9080	0.878533	10	0.606187	4.999923	549272.363	9798292.381	64.210701
418	3	9081	0.732111	16	0.420963	5.161875	549248.151	9798435.197	67.899498
419	3	9082	0.541126	15	0.229978	2.666634	549211.128	9798491.137	72.796204
420	3	9087	0.668449	12	0.350935	3.372791	549137.407	9798569.966	78.2528
421	3	9088	0.687548	12	0.371275	3.568728	549145.636	9798565.432	78.2528
422	3	9089	0.623886	14	0.305703	3.345993	549146.742	9798538.462	75.260597
423	3	9090	0.728928	16	0.41731	5.116987	549145.071	9798527.851	72.679298
424	3	9091	0.706646	12	0.392188	3.770209	549136.392	9798514.589	72.679298
425	3	9094	0.614337	14	0.296417	3.244123	549157.514	9798470.48	71.559898
426	3	9096	0.531576	12	0.221933	2.130767	549171.487	9798306.001	66.327904
427	3	9097	0.821238	12	0.529697	5.095568	549150.352	9798292.521	68.432602
428	3	9098	0.56659	12	0.252132	2.421407	549169.809	9798263.336	68.7061
429	3	9099	0.531576	12	0.221933	2.130767	549213.405	9798252.935	70.6604
430	3	9101	0.557041	13	0.243705	2.50414	549182.59	9798227.409	71.345001
431	3	9103	0.722562	13	0.410053	4.21835	549192.485	9798211.6	74.207001
432	3	9106	0.636618	11	0.318308	2.84164	549176.793	9798170.264	77.099602
433	3	9111	0.563407	17	0.249307	3.213993	549185.231	9798108.915	79.715797
434	3	9114	0.655717	14	0.337693	3.696958	549206.466	9798076.523	80.839897
435	3	9115	0.477464	12	0.179048	1.718208	549215.03	9798074.31	79.337997
436	3	9116	0.56659	12	0.252132	2.421407	549197.231	9798060.94	81.753304
437	3	9117	0.493379	12	0.191184	1.834935	549181.547	9798054.754	82.209702
438	3	9122	0.499745	11	0.19615	1.749183	549193.096	9797982.351	82.594902
439	3	9124	0.541126	13	0.229978	2.362782	549201.432	9797959.358	83.246902
440	3	9131	0.56659	16	0.252132	3.088097	549185.508	9797879.445	85.255402
